## Generation 0 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.3533815 , 3.20258984]), 'dist_end_effector': -5.404489997502217, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.89145707, -3.61097208]), 'dist_end_effector': -3.777298873963617, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.89989941, -2.0877518 ]), 'dist_end_effector': -5.3261357299991, 'collision': False}
{'pos_end_effector': array([ 0.40709313, -0.94827987]), 'dist_end_effector': -2.5871474727249977, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.32847889, -0.97288763]), 'dist_end_effector': -2.523553901490615, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.42465054, 2.02178851]), 'dist_end_effector': -3.15698575273281, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.26191262, -0.34558912]), 'dist_end_effector': -3.280168557111941, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.7205129 , -5.41956414]), 'dist_end_effector': -5.467249247269033, 'collision': False}
{'pos_end_effector': array([-0.22784411, -0.18154567]), 'dist_end_effector': -1.7814306949868561, 'collision': False}
{'pos_end_effector': array([2.84544894, 3.01731823]), 'dist_end_effector': -5.708115686874939, 'collision': False}
{'pos_end_effector': array([1.17540378, 2.86500771]), 'dist_end_effector': -4.27685145333851, 'collision': False}
{'pos_end_effector': array([ 2.30878023, -2.86022846]), 'dist_end_effector': -5.171701258765456, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.63264132, 0.85628998]), 'dist_end_effector': -6.687687446685869, 'collision': False}
{'pos_end_effector': array([2.41248186, 2.89812353]), 'dist_end_effector': -5.279120781672327, 'collision': False}
{'pos_end_effector': array([-1.28546526, -3.31534005]), 'dist_end_effector': -3.391465688659417, 'collision': False}
{'pos_end_effector': array([2.64636446, 1.90326298]), 'dist_end_effector': -5.021066882959214, 'collision': False}
{'pos_end_effector': array([ 0.31061697, -1.57729698]), 'dist_end_effector': -2.79764482015756, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.51275496, -1.92098046]), 'dist_end_effector': -5.837862043724073, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.36987976, -0.97764205]), 'dist_end_effector': -2.563613478686123, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.05890122, 0.52533331]), 'dist_end_effector': -5.086104269556456, 'collision': False}
{'pos_end_effector': array([ 0.28794084, -1.99782072]), 'dist_end_effector': -3.0374266902195446, 'collision': False}
{'pos_end_effector': array([ 1.42504028, -0.33060736]), 'dist_end_effector': -3.4409594762119893, 'collision': False}
{'pos_end_effector': array([0.07210103, 1.32187984]), 'dist_end_effector': -2.457838275418404, 'collision': False}
{'pos_end_effector': array([0.14905264, 2.43938173]), 'dist_end_effector': -3.251001451644456, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.56588081, -1.13231593]), 'dist_end_effector': -1.8272485370934828, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.68036433, 2.33119506]), 'dist_end_effector': -5.228793425984253, 'collision': False}
{'pos_end_effector': array([-0.11173488,  0.43153136]), 'dist_end_effector': -1.936947207734459, 'collision': False}
