## Generation 0 
{'pos_end_effector': array([2.47010223, 1.2879514 ]), 'dist_end_effector': -4.651949349554511, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.54012402, -1.38092237]), 'dist_end_effector': -4.745489724864937, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.50103431, -1.3472756 ]), 'dist_end_effector': -2.0154527234770803, 'collision': False}
{'pos_end_effector': array([3.30220879, 1.86289158]), 'dist_end_effector': -5.61994511223793, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.98972097, -0.26374744]), 'dist_end_effector': -4.99668670422685, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.46427326, 0.84534585]), 'dist_end_effector': -2.6052355516917967, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-5.99019112,  1.78145045]), 'dist_end_effector': -4.369804446945419, 'collision': False}
{'pos_end_effector': array([ 0.21535645, -1.26305774]), 'dist_end_effector': -2.5501213759862487, 'collision': False}
{'pos_end_effector': array([-0.81070601,  1.70637477]), 'dist_end_effector': -2.0799363082207054, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-6.5817532 ,  2.59090581]), 'dist_end_effector': -5.2635781859233814, 'collision': False}
{'pos_end_effector': array([ 2.80562879, -1.39577352]), 'dist_end_effector': -5.004223398346808, 'collision': False}
{'pos_end_effector': array([2.03804759, 0.02964694]), 'dist_end_effector': -4.0381564180321, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.54368058, 4.79699833]), 'dist_end_effector': -7.331001799730881, 'collision': False}
{'pos_end_effector': array([0.44468529, 0.60105681]), 'dist_end_effector': -2.5174899115793363, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
