## Generation 0 
{'pos_end_effector': array([0.49500031, 2.93742749]), 'dist_end_effector': -3.8540247527514206, 'collision': False}
{'pos_end_effector': array([ 2.79523804, -0.84549713]), 'dist_end_effector': -4.869206639737497, 'collision': False}
{'pos_end_effector': array([6.31243431, 1.58992983]), 'dist_end_effector': -8.463122415512633, 'collision': False}
{'pos_end_effector': array([ 2.35041945, -3.24443468]), 'dist_end_effector': -5.42701628723624, 'collision': False}
{'pos_end_effector': array([ 0.06495592, -3.62750033]), 'dist_end_effector': -4.1740629624389385, 'collision': False}
{'pos_end_effector': array([-0.45782316, -2.30055121]), 'dist_end_effector': -2.7696290814711437, 'collision': False}
{'pos_end_effector': array([-0.77669351, -2.16371596]), 'dist_end_effector': -2.4855875651813495, 'collision': False}
{'pos_end_effector': array([0.90957784, 1.05392187]), 'dist_end_effector': -3.094575010376608, 'collision': False}
{'pos_end_effector': array([3.19002837, 1.86946723]), 'dist_end_effector': -5.516457400771044, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.01196503, -2.78479253]), 'dist_end_effector': -4.102072983668924, 'collision': False}
{'pos_end_effector': array([-0.26835737,  0.37334933]), 'dist_end_effector': -1.7714332917560824, 'collision': False}
{'pos_end_effector': array([ 2.0359468 , -3.25491866]), 'dist_end_effector': -5.184916788918445, 'collision': False}
{'pos_end_effector': array([-2.76503716,  4.33936407]), 'dist_end_effector': -4.406286686406862, 'collision': False}
{'pos_end_effector': array([-0.24486329, -5.95757542]), 'dist_end_effector': -6.210733434400669, 'collision': False}
{'pos_end_effector': array([-1.50487776, -5.3495889 ]), 'dist_end_effector': -5.372452646433429, 'collision': False}
{'pos_end_effector': array([-0.81286457, -1.24433042]), 'dist_end_effector': -1.719781590271238, 'collision': False}
{'pos_end_effector': array([ 4.54329921, -0.25441905]), 'dist_end_effector': -6.548243552743918, 'collision': False}
{'pos_end_effector': array([2.03852585, 0.8196984 ]), 'dist_end_effector': -4.120873273660493, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.29812404, -0.74294151]), 'dist_end_effector': -5.349960790190783, 'collision': False}
{'pos_end_effector': array([3.66610183, 1.91414693]), 'dist_end_effector': -5.980691299728525, 'collision': False}
{'pos_end_effector': array([2.05949755, 1.39658141]), 'dist_end_effector': -4.293012929004787, 'collision': False}
{'pos_end_effector': array([ 1.94409108, -1.64637066]), 'dist_end_effector': -4.273919840339303, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.32425498,  5.83907453]), 'dist_end_effector': -5.878045819887076, 'collision': False}
{'pos_end_effector': array([4.31294965, 1.85567889]), 'dist_end_effector': -6.580036274016443, 'collision': False}
{'pos_end_effector': array([1.40362801, 0.97177091]), 'dist_end_effector': -3.5396359095420533, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.63880362, 8.48580838]), 'dist_end_effector': -9.2330837536268, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.04155112, -2.79667739]), 'dist_end_effector': -4.131880642586457, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.95684162,  1.8148871 ]), 'dist_end_effector': -1.8154001821813999, 'collision': False}
{'pos_end_effector': array([ 2.35041945, -3.24443468]), 'dist_end_effector': -5.42701628723624, 'collision': False}
{'pos_end_effector': array([-0.38665651,  1.72892397]), 'dist_end_effector': -2.36475269647138, 'collision': False}
{'pos_end_effector': array([0.5588127, 2.0102982]), 'dist_end_effector': -3.2540469135806838, 'collision': False}
{'pos_end_effector': array([1.07437544, 2.13719518]), 'dist_end_effector': -3.744247265470032, 'collision': False}
{'pos_end_effector': array([1.96234159, 2.25969954]), 'dist_end_effector': -4.561402515959905, 'collision': False}
{'pos_end_effector': array([1.85023058, 0.13075272]), 'dist_end_effector': -3.8524500983790717, 'collision': False}
{'pos_end_effector': array([-1.9682024 , -4.56345079]), 'dist_end_effector': -4.56356156938993, 'collision': False}
{'pos_end_effector': array([ 1.61538513, -2.25006688]), 'dist_end_effector': -4.258381217985772, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.51671516, 1.17752429]), 'dist_end_effector': -4.667684578442822, 'collision': False}
{'pos_end_effector': array([0.14329428, 4.5201858 ]), 'dist_end_effector': -5.00257834337418, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.41923256, 0.95087803]), 'dist_end_effector': -3.5489886377139106, 'collision': False}
{'pos_end_effector': array([1.41923256, 0.95087803]), 'dist_end_effector': -3.5489886377139106, 'collision': False}
{'pos_end_effector': array([0.80181745, 4.22135992]), 'dist_end_effector': -5.066562997942788, 'collision': False}
{'pos_end_effector': array([ 3.93510566, -2.97096023]), 'dist_end_effector': -6.637174392409307, 'collision': False}
{'pos_end_effector': array([0.58030274, 3.50296205]), 'dist_end_effector': -4.35071319876433, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.12762011, 0.18298575]), 'dist_end_effector': -5.130884116991343, 'collision': False}
{'pos_end_effector': array([5.26547263, 0.44105153]), 'dist_end_effector': -7.278847367723083, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.199075  , -0.92068327]), 'dist_end_effector': -2.022619225122947, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.38862653, -1.8288608 ]), 'dist_end_effector': -4.75444788272362, 'collision': False}
{'pos_end_effector': array([-2.81117068, -3.67286669]), 'dist_end_effector': -3.761375758166176, 'collision': False}
